country,time,population
irq,1854,1404253
irl,1854,4328262
isr,1854,216942
ita,1854,25096000
jam,1854,417252
jpn,1854,32473197
jor,1854,249222
kaz,1854,2785817
ken,1854,2574000
kir,1854,19736
kwt,1854,81280
kgz,1854,723617
lao,1854,648747
lva,1854,807048
lbn,1854,424167
lso,1854,356794
lbr,1854,414443
lby,1854,637443
ltu,1854,1063802
lux,1854,158486
mac,1854,49708
mkd,1854,528485
mdg,1854,2122093
mwi,1854,737000
mys,1854,575491
mdv,1854,51659
mli,1854,1918446
mlt,1854,167214
mhl,1854,7189
mrt,1854,440830
mus,1854,222673
mex,1854,7950794
fsm,1854,19547
mda,1854,972582
mco,1854,9968
mng,1854,651912
mne,1854,170861
mar,1854,3387278
moz,1854,2811431
mmr,1854,3992697
nam,1854,229000
nru,1854,2077
npl,1854,4419099
nld,1854,3218000
nzl,1854,104900
nic,1854,362177
ner,1854,1487878
nga,1854,13992908
prk,1854,4457201
nor,1854,1457000
omn,1854,350550
pak,1854,15265490
plw,1854,4596
pan,1854,142354
png,1854,934632
pry,1854,356550
per,1854,2109563
phl,1854,3364263
pol,1854,13694682
prt,1854,3858000
pri,1854,528482
qat,1854,14092
rou,1854,8223015
rus,1854,42494452
rwa,1854,1145306
wsm,1854,45599
smr,1854,6850
stp,1854,29300
sau,1854,2255940
sen,1854,1268709
srb,1854,2895146
syc,1854,14081
sle,1854,997144
sgp,1854,60730
svk,1854,2422774
svn,1854,633324
slb,1854,66437
som,1854,1238277
zaf,1854,2172730
kor,1854,9586242
ssd,1854,1227026
esp,1854,15217000
lka,1854,2320645
kna,1854,22255
lca,1854,24863
vct,1854,30587
sdn,1854,4770327
sur,1854,104294
swz,1854,86000
swe,1854,3567989
che,1854,2427000
syr,1854,1499072
twn,1854,2228264
tjk,1854,636742
tza,1854,3405113
tha,1854,5334721
tls,1854,199734
tgo,1854,601015
ton,1854,18616
tto,1854,87329
tun,1854,1069842
tur,1854,11213189
tkm,1854,501714
tca,1854,4176
tuv,1854,3022
uga,1854,2352630
ukr,1854,15356971
are,1854,40153
gbr,1854,23117738
usa,1854,26882238
ury,1854,159778
uzb,1854,2620456
vut,1854,32008
ven,1854,1384092
vnm,1854,9045105
pse,1854,171467
yem,1854,2758502
zmb,1854,747000
zwe,1854,1384128
guf,1854,12676
pyf,1854,58502
glp,1854,103659
gum,1854,30748
mtq,1854,108347
myt,1854,9643
ant,1854,54755
ncl,1854,36183
reu,1854,119966
vir,1854,37581
esh,1854,4233
akr_a_dhe,1854,5425
asm,1854,7875
aia,1854,2581
vgb,1854,6700
chanisl,1854,54770
cxr,1854,0
cck,1854,89
cok,1854,15280
cheslo,1854,9424306
deu_east,1854,7864347
eri_a_eth,1854,5215315
fro,1854,16884
flk,1854,113
gib,1854,11951
gbg,1854,24305
hos,1854,905
gbm,1854,29419
jey,1854,30456
kos,1854,517020
lie,1854,7272
msr,1854,7246
niu,1854,4507
nfk,1854,1277
yem_north,1854,2239700
mnp,1854,4071
pcn,1854,184
scg,1854,3063200
scg_ex_kos,1854,2443964
yem_south,1854,693449
stbar,1854,3569
shn,1854,6300
stmar,1854,7313
spm,1854,2280
sjm,1854,168
tkl,1854,919
ussr,1854,76518583
korea_union,1854,14094181
wlf,1854,4390
deu_west,1854,19983220
yug,1854,6394887
ala,1854,12071
afg,1855,3904298
alb,1855,523970
dza,1855,3410355
and,1855,3335
ago,1855,2019292
atg,1855,37000
arg,1855,1243429
arm,1855,568842
abw,1855,23160
aus,1855,983000
aut,1855,4092000
aze,1855,1212678
bhs,1855,30614
bhr,1855,64474
bgd,1855,23198250
brb,1855,142561
blr,1855,3244908
bel,1855,4592000
blz,1855,25930
ben,1855,894830
bmu,1855,11390
btn,1855,106524
bol,1855,1403299
bih,1855,1157559
bwa,1855,121000
bra,1855,7803818
brn,1855,4361
bgr,1855,2521228
bfa,1855,2147874
bdi,1855,1178471
khm,1855,2262012
cmr,1855,2063645
can,1855,2893435
cpv,1855,76179
cym,1855,3226
caf,1855,566606
tcd,1855,1432000
chl,1855,1531758
chn,1855,394111661
col,1855,2142300
com,1855,74162
cod,1855,6506420
cog,1855,405391
cri,1855,107413
civ,1855,1380361
hrv,1855,1670271
cub,1855,1277639
cyp,1855,185482
cze,1855,6270021
dnk,1855,1590000
dji,1855,29893
dma,1855,23897
dom,1855,165660
ecu,1855,861331
egy,1855,6032229
slv,1855,394096
gnq,1855,90274
eri,1855,325477
est,1855,460626
eth,1855,4830206
fji,1855,135335
fin,1855,1683000
fra,1855,37000000
gab,1855,211996
gmb,1855,133953
geo,1855,1477395
deu,1855,34586000
gha,1855,1699092
grc,1855,3187000
grl,1855,12131
grd,1855,32596
gtm,1855,902444
gin,1855,1339423
gnb,1855,275382
guy,1855,211305
hti,1855,987021
hnd,1855,362783
hkg,1855,45852
hun,1855,5340425
isl,1855,77120
ind,1855,200390438
idn,1855,23042618
irn,1855,7809245
irq,1855,1414640
irl,1855,4279877
isr,1855,218725
ita,1855,25257000
jam,1855,421944
jpn,1855,32592585
jor,1855,250239
kaz,1855,2811413
ken,1855,2574000
kir,1855,19794
kwt,1855,81280
kgz,1855,730261
lao,1855,654926
lva,1855,814494
lbn,1855,427234
lso,1855,359485
lbr,1855,417858
lby,1855,640631
ltu,1855,1073610
lux,1855,159521
mac,1855,54357
mkd,1855,533155
mdg,1855,2136612
mwi,1855,737000
mys,1855,587461
mdv,1855,51961
mli,1855,1936167
mlt,1855,168304
mhl,1855,7233
mrt,1855,442668
mus,1855,234512
mex,1855,8024677
fsm,1855,19648
mda,1855,981522
mco,1855,10040
mng,1855,652906
mne,1855,172375
mar,1855,3410355
moz,1855,2835819
mmr,1855,4008017
nam,1855,229000
nru,1855,2085
npl,1855,4436035
nld,1855,3235000
nzl,1855,108995
nic,1855,364290
ner,1855,1495702
nga,1855,14052824
prk,1855,4460545
nor,1855,1479000
omn,1855,351556
pak,1855,15315761
plw,1855,4619
pan,1855,144254
png,1855,940522
pry,1855,358207
per,1855,2137612
phl,1855,3421551
pol,1855,13874077
prt,1855,3867000
pri,1855,537201
qat,1855,14092
rou,1855,8279733
rus,1855,42886875
rwa,1855,1152401
wsm,1855,45279
smr,1855,6894
stp,1855,29519
sau,1855,2260983
sen,1855,1277251
srb,1855,2920708
syc,1855,14130
sle,1855,1003838
sgp,1855,61974
svk,1855,2431612
svn,1855,638918
slb,1855,66737
som,1855,1246085
zaf,1855,2194420
kor,1855,9596580
ssd,1855,1232493
esp,1855,15299000
lka,1855,2347305
kna,1855,22425
lca,1855,25158
vct,1855,30785
sdn,1855,4791583
sur,1855,105083
swz,1855,86000
swe,1855,3605026
che,1855,2442000
syr,1855,1504125
twn,1855,2235387
tjk,1855,642590
tza,1855,3417163
tha,1855,5361228
tls,1855,201950
tgo,1855,606312
ton,1855,18645
tto,1855,89263
tun,1855,1076186
tur,1855,11248577
tkm,1855,506340
tca,1855,4205
tuv,1855,3039
uga,1855,2360457
ukr,1855,15499579
are,1855,40153
gbr,1855,23417123
usa,1855,27707943
ury,1855,167592
uzb,1855,2644572
vut,1855,32141
ven,1855,1399536
vnm,1855,9131337
pse,1855,172877
yem,1855,2763526
zmb,1855,747000
zwe,1855,1394046
guf,1855,12768
pyf,1855,57659
glp,1855,104424
gum,1855,29985
mtq,1855,109160
myt,1855,9688
ant,1855,55163
ncl,1855,36404
reu,1855,120877
vir,1855,37000
esh,1855,4286
akr_a_dhe,1855,5463
asm,1855,7820
aia,1855,2600
vgb,1855,6700
chanisl,1855,55127
cxr,1855,0
cck,1855,90
cok,1855,15105
cheslo,1855,9468393
deu_east,1855,7936144
eri_a_eth,1855,5293033
fro,1855,16994
flk,1855,117
gib,1855,12019
gbg,1855,24463
hos,1855,905
gbm,1855,29613
jey,1855,30655
kos,1855,521572
lie,1855,7320
msr,1855,7296
niu,1855,4508
nfk,1855,1281
yem_north,1855,2254787
mnp,1855,4094
pcn,1855,189
scg,1855,3090167
scg_ex_kos,1855,2465480
yem_south,1855,698120
stbar,1855,3533
shn,1855,6382
stmar,1855,7380
spm,1855,2297
sjm,1855,172
tkl,1855,900
ussr,1855,77226819
korea_union,1855,14104736
wlf,1855,4411
deu_west,1855,20162607
yug,1855,6497604
ala,1855,12195
afg,1856,3923782
alb,1856,528901
dza,1856,3433590
and,1856,3356
ago,1856,2033975
atg,1856,37000
arg,1856,1274286
arm,1856,574056
abw,1856,23282
aus,1856,1065000
aut,1856,4120000
aze,1856,1223841
bhs,1856,31305
bhr,1856,64474
bgd,1856,23296783
brb,1856,144250
blr,1856,3274760
bel,1856,4621000
blz,1856,25942
ben,1856,903580
bmu,1856,11489
btn,1856,107038
bol,1856,1409234
bih,1856,1167747
bwa,1856,121000
bra,1856,7923059
brn,1856,4451
bgr,1856,2525495
bfa,1856,2163543
bdi,1856,1187617
khm,1856,2267130
cmr,1856,2069779
can,1856,2982848
cpv,1856,76862
cym,1856,3251
caf,1856,569316
tcd,1856,1432000
chl,1856,1556924
chn,1856,390628294
col,1856,2158104
com,1856,74747
cod,1856,6549525
cog,1856,408343
cri,1856,108744
civ,1856,1389760
hrv,1856,1685019
cub,1856,1296800
cyp,1856,185502
cze,1856,6293004
dnk,1856,1612000
dji,1856,30124
dma,1856,24077
dom,1856,169899
ecu,1856,870695
egy,1856,6095197
slv,1856,399969
gnq,1856,90574
eri,1856,329804
est,1856,464870
eth,1856,4898784
fji,1856,135005
fin,1856,1692000
fra,1856,37060000
gab,1856,213776
gmb,1856,134952
geo,1856,1490990
deu,1856,34715000
gha,1856,1690809
grc,1856,3216000
grl,1856,12213
grd,1856,32496
gtm,1856,913315
gin,1856,1351278
gnb,1856,277220
guy,1856,212765
hti,1856,997129
hnd,1856,365395
hkg,1856,48970
hun,1856,5377051
isl,1856,77622
ind,1856,201156182
idn,1856,23309265
irn,1856,7848236
irq,1856,1425105
irl,1856,4249993
isr,1856,220522
ita,1856,25420000
jam,1856,426689
jpn,1856,32712413
jor,1856,251260
kaz,1856,2837244
ken,1856,2574000
kir,1856,19851
kwt,1856,81280
kgz,1856,736965
lao,1856,661164
lva,1856,822009
lbn,1856,430324
lso,1856,362196
lbr,1856,421301
lby,1856,643834
ltu,1856,1083509
lux,1856,160563
mac,1856,59442
mkd,1856,537866
mdg,1856,2151230
mwi,1856,737000
mys,1856,599681
mdv,1856,52264
mli,1856,1954051
mlt,1856,169401
mhl,1856,7278
mrt,1856,444513
mus,1856,246981
mex,1856,8099247
fsm,1856,19749
mda,1856,990544
mco,1856,10113
mng,1856,653902
mne,1856,173903
mar,1856,3433590
moz,1856,2860419
mmr,1856,4023396
nam,1856,229000
nru,1856,2093
npl,1856,4453035
nld,1856,3253000
nzl,1856,113251
nic,1856,366414
ner,1856,1503568
nga,1856,14112998
prk,1856,4463891
nor,1856,1501000
omn,1856,352565
pak,1856,15366197
plw,1856,4642
pan,1856,146180
png,1856,946448
pry,1856,359871
per,1856,2166034
phl,1856,3479814
pol,1856,14055822
prt,1856,3875000
pri,1856,546064
qat,1856,14092
rou,1856,8336843
rus,1856,43282922
rwa,1856,1159541
wsm,1856,44962
smr,1856,6939
stp,1856,29741
sau,1856,2266038
sen,1856,1285851
srb,1856,2946495
syc,1856,14179
sle,1856,1010577
sgp,1856,63243
svk,1856,2440482
svn,1856,644561
slb,1856,67039
som,1856,1253943
zaf,1856,2216326
kor,1856,9606930
ssd,1856,1237985
esp,1856,15381000
lka,1856,2374271
kna,1856,22595
lca,1856,25456
vct,1856,30984
sdn,1856,4812932
sur,1856,105877
swz,1856,86000
swe,1856,3640807
che,1856,2457000
syr,1856,1509195
twn,1856,2242532
tjk,1856,648492
tza,1856,3429254
tha,1856,5387866
tls,1856,204190
tgo,1856,611656
ton,1856,18674
tto,1856,91241
tun,1856,1082569
tur,1856,11284077
tkm,1856,511009
tca,1856,4234
tuv,1856,3056
uga,1856,2368310
ukr,1856,15643511
are,1856,40153
gbr,1856,23728007
usa,1856,28534680
ury,1856,175788
uzb,1856,2668909
vut,1856,32275
ven,1856,1415153
vnm,1856,9218392
pse,1856,174298
yem,1856,2768560
zmb,1856,747000
zwe,1856,1404034
guf,1856,12862
pyf,1856,56828
glp,1856,105194
gum,1856,29241
mtq,1856,109978
myt,1856,9734
ant,1856,55574
ncl,1856,36625
reu,1856,121796
vir,1856,37198
esh,1856,4339
akr_a_dhe,1856,5502
asm,1856,7766
aia,1856,2618
vgb,1856,6700
chanisl,1856,55487
cxr,1856,0
cck,1856,92
cok,1856,14933
cheslo,1856,9512687
deu_east,1856,8008596
eri_a_eth,1856,5371910
fro,1856,17104
flk,1856,121
gib,1856,12086
gbg,1856,24623
hos,1856,905
gbm,1856,29808
jey,1856,30854
kos,1856,526163
lie,1856,7369
msr,1856,7346
niu,1856,4510
nfk,1856,1285
yem_north,1856,2269975
mnp,1856,4117
pcn,1856,194
scg,1856,3117372
scg_ex_kos,1856,2487186
yem_south,1856,702823
stbar,1856,3497
shn,1856,6466
stmar,1856,7446
spm,1856,2313
sjm,1856,176
tkl,1856,882
ussr,1856,77941610
korea_union,1856,14115298
wlf,1856,4433
deu_west,1856,20343605
yug,1856,6601971
ala,1856,12320
afg,1857,3943364
alb,1857,533877
dza,1857,3456983
and,1857,3378
ago,1857,2048764
atg,1857,37000
arg,1857,1305908
arm,1857,579318
abw,1857,23404
aus,1857,1156000
aut,1857,4150000
aze,1857,1235107
bhs,1857,32011
bhr,1857,64474
bgd,1857,23395733
brb,1857,145959
blr,1857,3304886
bel,1857,4651000
blz,1857,25953
ben,1857,912415
bmu,1857,11590
btn,1857,107555
bol,1857,1415193
bih,1857,1178026
bwa,1857,121000
bra,1857,8044121
brn,1857,4543
bgr,1857,2529770
bfa,1857,2179326
bdi,1857,1196834
khm,1857,2272259
cmr,1857,2075930
can,1857,3075025
cpv,1857,77552
cym,1857,3278
caf,1857,572040
tcd,1857,1432000
chl,1857,1582386
chn,1857,387175714
col,1857,2174025
com,1857,75336
cod,1857,6592916
cog,1857,411317
cri,1857,110091
civ,1857,1399224
hrv,1857,1699898
cub,1857,1316248
cyp,1857,185522
cze,1857,6316072
dnk,1857,1634000
dji,1857,30356
dma,1857,24259
dom,1857,174247
ecu,1857,880161
egy,1857,6158823
slv,1857,405929
gnq,1857,90875
eri,1857,334188
est,1857,469154
eth,1857,4968336
fji,1857,134675
fin,1857,1703000
fra,1857,37120000
gab,1857,215570
gmb,1857,135959
geo,1857,1504709
deu,1857,34979000
gha,1857,1682566
grc,1857,3246000
grl,1857,12295
grd,1857,32396
gtm,1857,924316
gin,1857,1363238
gnb,1857,279071
guy,1857,214236
hti,1857,1007340
hnd,1857,368025
hkg,1857,52300
hun,1857,5413929
isl,1857,78129
ind,1857,201924855
idn,1857,23578997
irn,1857,7887421
irq,1857,1435646
irl,1857,4211570
isr,1857,222335
ita,1857,25584000
jam,1857,431487
jpn,1857,32832681
jor,1857,252285
kaz,1857,2863312
ken,1857,2574000
kir,1857,19909
kwt,1857,81280
kgz,1857,743732
lao,1857,667461
lva,1857,829594
lbn,1857,433436
lso,1857,364927
lbr,1857,424772
lby,1857,647054
ltu,1857,1093499
lux,1857,161611
mac,1857,65001
mkd,1857,542618
mdg,1857,2165948
mwi,1857,737000
mys,1857,612154
mdv,1857,52570
mli,1857,1972101
mlt,1857,170506
mhl,1857,7323
mrt,1857,446366
mus,1857,260112
mex,1857,8174510
fsm,1857,19851
mda,1857,999649
mco,1857,10187
mng,1857,654899
mne,1857,175444
mar,1857,3456983
moz,1857,2885232
mmr,1857,4038834
nam,1857,229000
nru,1857,2100
npl,1857,4470101
nld,1857,3277000
nzl,1857,117672
nic,1857,368551
ner,1857,1511475
nga,1857,14173428
prk,1857,4467239
nor,1857,1521000
omn,1857,353577
pak,1857,15416800
plw,1857,4666
pan,1857,148131
png,1857,952412
pry,1857,361543
per,1857,2194834
phl,1857,3539069
pol,1857,14239948
prt,1857,3889000
pri,1857,555072
qat,1857,14092
rou,1857,8394346
rus,1857,43682627
rwa,1857,1166725
wsm,1857,44647
smr,1857,6985
stp,1857,29964
sau,1857,2271104
sen,1857,1294509
srb,1857,2972510
syc,1857,14228
sle,1857,1017361
sgp,1857,64539
svk,1857,2449385
svn,1857,650253
slb,1857,67341
som,1857,1261850
zaf,1857,2238451
kor,1857,9617290
ssd,1857,1243501
esp,1857,15455000
lka,1857,2401547
kna,1857,22767
lca,1857,25757
vct,1857,31184
sdn,1857,4834377
sur,1857,106678
swz,1857,86000
swe,1857,3668420
che,1857,2471000
syr,1857,1514283
twn,1857,2249701
tjk,1857,654447
tza,1857,3441389
tha,1857,5414636
tls,1857,206455
tgo,1857,617046
ton,1857,18703
tto,1857,93262
tun,1857,1088989
tur,1857,11319689
tkm,1857,515721
tca,1857,4264
tuv,1857,3073
uga,1857,2376190
ukr,1857,15788780
are,1857,40153
gbr,1857,23974430
usa,1857,29360442
ury,1857,184385
uzb,1857,2693470
vut,1857,32409
ven,1857,1430944
vnm,1857,9306276
pse,1857,175730
yem,1857,2773603
zmb,1857,747000
zwe,1857,1414094
guf,1857,12955
pyf,1857,56008
glp,1857,105971
gum,1857,28516
mtq,1857,110803
myt,1857,9780
ant,1857,55988
ncl,1857,36848
reu,1857,122721
vir,1857,37397
esh,1857,4392
akr_a_dhe,1857,5541
asm,1857,7711
aia,1857,2637
vgb,1857,6700
chanisl,1857,55849
cxr,1857,0
cck,1857,93
cok,1857,14762
cheslo,1857,9557187
deu_east,1857,8081710
eri_a_eth,1857,5451961
fro,1857,17216
flk,1857,124
gib,1857,12155
gbg,1857,24783
hos,1857,905
gbm,1857,30004
jey,1857,31056
kos,1857,530796
lie,1857,7418
msr,1857,7396
niu,1857,4511
nfk,1857,1288
yem_north,1857,2285266
mnp,1857,4140
pcn,1857,56
scg,1857,3144817
scg_ex_kos,1857,2509082
yem_south,1857,707557
stbar,1857,3461
shn,1857,6550
stmar,1857,7514
spm,1857,2330
sjm,1857,180
tkl,1857,863
ussr,1857,78663015
korea_union,1857,14125868
wlf,1857,4455
deu_west,1857,20526228
yug,1857,6708015
ala,1857,12447
afg,1858,3963043
alb,1858,538901
dza,1858,3480536
and,1858,3401
ago,1858,2063660
atg,1858,37000
arg,1858,1338314
arm,1858,584629
abw,1858,23527
aus,1858,1235000
aut,1858,4178000
aze,1858,1246476
bhs,1858,32734
bhr,1858,64474
bgd,1858,23495105
brb,1858,147688
blr,1858,3335289
bel,1858,4680000
blz,1858,25965
ben,1858,921336
bmu,1858,11691
btn,1858,108075
bol,1858,1421178
bih,1858,1188394
bwa,1858,121000
bra,1858,8167034
brn,1858,4638
bgr,1858,2534051
bfa,1858,2195224
bdi,1858,1206123
khm,1858,2277399
cmr,1858,2082100
can,1858,3170050
cpv,1858,78249
cym,1858,3304
caf,1858,574776
tcd,1858,1432000
chl,1858,1608154
chn,1858,383753655
col,1858,2190062
com,1858,75930
cod,1858,6636595
cog,1858,414313
cri,1858,111455
civ,1858,1408751
hrv,1858,1714908
cub,1858,1335987
cyp,1858,185542
cze,1858,6339225
dnk,1858,1653000
dji,1858,30590
dma,1858,24442
dom,1858,178705
ecu,1858,889729
egy,1858,6223114
slv,1858,411979
gnq,1858,91177
eri,1858,338631
est,1858,473477
eth,1858,5038875
fji,1858,134346
fin,1858,1715000
fra,1858,37180000
gab,1858,217379
gmb,1858,136973
geo,1858,1518555
deu,1858,35278000
gha,1858,1674364
grc,1858,3273000
grl,1858,12378
grd,1858,32297
gtm,1858,935451
gin,1858,1375303
gnb,1858,280934
guy,1858,215717
hti,1858,1017656
hnd,1858,370675
hkg,1858,55856
hun,1858,5451060
isl,1858,78638
ind,1858,202696463
idn,1858,23851850
irn,1858,7926803
irq,1858,1446266
irl,1858,4191647
isr,1858,224162
ita,1858,25748000
jam,1858,436339
jpn,1858,32953391
jor,1858,253315
kaz,1858,2889620
ken,1858,2574000
kir,1858,19967
kwt,1858,81280
kgz,1858,750560
lao,1858,673819
lva,1858,837248
lbn,1858,436571
lso,1858,367679
lbr,1858,428272
lby,1858,650290
ltu,1858,1103580
lux,1858,162666
mac,1858,71081
mkd,1858,547413
mdg,1858,2180767
mwi,1858,737000
mys,1858,624887
mdv,1858,52877
mli,1858,1990317
mlt,1858,171617
mhl,1858,7368
mrt,1858,448226
mus,1858,273941
mex,1858,8250472
fsm,1858,19953
mda,1858,1008837
mco,1858,10261
mng,1858,655897
mne,1858,176999
mar,1858,3480536
moz,1858,2910260
mmr,1858,4054331
nam,1858,229000
nru,1858,2108
npl,1858,4487232
nld,1858,3294000
nzl,1858,122267
nic,1858,370700
ner,1858,1519423
nga,1858,14234118
prk,1858,4470591
nor,1858,1543000
omn,1858,354592
pak,1858,15467569
plw,1858,4689
pan,1858,150109
png,1858,958414
pry,1858,363223
per,1858,2224017
phl,1858,3599333
pol,1858,14426486
prt,1858,3925000
pri,1858,564230
qat,1858,14092
rou,1858,8452246
rus,1858,44086023
rwa,1858,1173954
wsm,1858,44334
smr,1858,7030
stp,1858,30188
sau,1858,2276181
sen,1858,1303225
srb,1858,2998754
syc,1858,14277
sle,1858,1024190
sgp,1858,65860
svk,1858,2458320
svn,1858,655996
slb,1858,67646
som,1858,1269807
zaf,1858,2260797
kor,1858,9627662
ssd,1858,1249041
esp,1858,15526000
lka,1858,2429136
kna,1858,22940
lca,1858,26063
vct,1858,31386
sdn,1858,4855918
sur,1858,107485
swz,1858,86000
swe,1858,3695129
che,1858,2484000
syr,1858,1519387
twn,1858,2256892
tjk,1858,660458
tza,1858,3453567
tha,1858,5441540
tls,1858,208746
tgo,1858,622484
ton,1858,18732
tto,1858,95328
tun,1858,1095447
tur,1858,11355413
tkm,1858,520477
tca,1858,4294
tuv,1858,3090
uga,1858,2384095
ukr,1858,15935397
are,1858,40153
gbr,1858,24230353
usa,1858,30186232
ury,1858,193402
uzb,1858,2718257
vut,1858,32544
ven,1858,1446911
vnm,1858,9394998
pse,1858,177175
yem,1858,2778654
zmb,1858,747000
zwe,1858,1424226
guf,1858,13050
pyf,1858,55201
glp,1858,106753
gum,1858,27808
mtq,1858,111634
myt,1858,9826
ant,1858,56405
ncl,1858,37073
reu,1858,123654
vir,1858,37597
esh,1858,4446
akr_a_dhe,1858,5580
asm,1858,7657
aia,1858,2656
vgb,1858,6700
chanisl,1858,56213
cxr,1858,0
cck,1858,94
cok,1858,14593
cheslo,1858,9601896
deu_east,1858,8155491
eri_a_eth,1858,5533206
fro,1858,17328
flk,1858,128
gib,1858,12223
gbg,1858,24945
hos,1858,905
gbm,1858,30202
jey,1858,31258
kos,1858,535468
lie,1858,7468
msr,1858,7446
niu,1858,4513
nfk,1858,1292
yem_north,1858,2300660
mnp,1858,4164
pcn,1858,16
scg,1858,3172503
scg_ex_kos,1858,2531171
yem_south,1858,712324
stbar,1858,3426
shn,1858,6636
stmar,1858,7582
spm,1858,2347
sjm,1858,184
tkl,1858,845
ussr,1858,79391099
korea_union,1858,14136446
wlf,1858,4476
deu_west,1858,20710490
yug,1858,6815762
ala,1858,12574
afg,1859,3982821
alb,1859,543972
dza,1859,3504249
and,1859,3423
ago,1859,2078665
atg,1859,37000
arg,1859,1371525
arm,1859,589988
abw,1859,23650
aus,1859,1279000
aut,1859,4206000
aze,1859,1257950
bhs,1859,33472
bhr,1859,64474
bgd,1859,23594898
brb,1859,149438
blr,1859,3365973
bel,1859,4710000
blz,1859,25977
ben,1859,930345
bmu,1859,11793
btn,1859,108597
bol,1859,1427188
bih,1859,1198854
bwa,1859,121000
bra,1859,8291824
brn,1859,4734
bgr,1859,2538340
bfa,1859,2211239
bdi,1859,1215483
khm,1859,2282551
cmr,1859,2088288
can,1859,3268011
cpv,1859,78951
cym,1859,3330
caf,1859,577526
tcd,1859,1432000
chl,1859,1634242
chn,1859,380361837
col,1859,2206219
com,1859,76528
cod,1859,6680563
cog,1859,417330
cri,1859,112835
civ,1859,1418344
hrv,1859,1730051
cub,1859,1356023
cyp,1859,185562
cze,1859,6362462
dnk,1859,1674000
dji,1859,30826
dma,1859,24627
dom,1859,183278
ecu,1859,899402
egy,1859,6288075
slv,1859,418118
gnq,1859,91480
eri,1859,343133
est,1859,477840
eth,1859,5110416
fji,1859,134018
fin,1859,1726000
fra,1859,37240000
gab,1859,219204
gmb,1859,137995
geo,1859,1532529
deu,1859,35633000
gha,1859,1666202
grc,1859,3306000
grl,1859,12462
grd,1859,32198
gtm,1859,946719
gin,1859,1387476
gnb,1859,282810
guy,1859,217208
hti,1859,1028077
hnd,1859,373344
hkg,1859,59654
hun,1859,5488445
isl,1859,79151
ind,1859,203471019
idn,1859,24127861
irn,1859,7966381
irq,1859,1456964
irl,1859,4171013
isr,1859,226005
ita,1859,25914000
jam,1859,441246
jpn,1859,33074545
jor,1859,254348
kaz,1859,2916170
ken,1859,2574000
kir,1859,20025
kwt,1859,81280
kgz,1859,757451
lao,1859,680237
lva,1859,844973
lbn,1859,439728
lso,1859,370452
lbr,1859,431801
lby,1859,653542
ltu,1859,1113755
lux,1859,163728
mac,1859,77730
mkd,1859,552249
mdg,1859,2195687
mwi,1859,737000
mys,1859,637885
mdv,1859,53186
mli,1859,2008702
mlt,1859,172736
mhl,1859,7414
mrt,1859,450094
mus,1859,288506
mex,1859,8327141
fsm,1859,20055
mda,1859,1018110
mco,1859,10336
mng,1859,656897
mne,1859,178567
mar,1859,3504249
moz,1859,2935505
mmr,1859,4069887
nam,1859,229000
nru,1859,2116
npl,1859,4504429
nld,1859,3304000
nzl,1859,127040
nic,1859,372862
ner,1859,1527413
nga,1859,14295067
prk,1859,4473944
nor,1859,1570000
omn,1859,355610
pak,1859,15518506
plw,1859,4713
pan,1859,152112
png,1859,964453
pry,1859,364911
per,1859,2253587
phl,1859,3660623
pol,1859,14615467
prt,1859,3963000
pri,1859,573538
qat,1859,14092
rou,1859,8510546
rus,1859,44493144
rwa,1859,1181227
wsm,1859,44024
smr,1859,7076
stp,1859,30414
sau,1859,2281270
sen,1859,1312000
srb,1859,3025231
syc,1859,14327
sle,1859,1031066
sgp,1859,67209
svk,1859,2467288
svn,1859,661790
slb,1859,67951
som,1859,1277814
zaf,1859,2283366
kor,1859,9638045
ssd,1859,1254607
esp,1859,15584000
lka,1859,2457042
kna,1859,23115
lca,1859,26371
vct,1859,31590
sdn,1859,4877554
sur,1859,108298
swz,1859,86000
swe,1859,3735679
che,1859,2497000
syr,1859,1524509
twn,1859,2264106
tjk,1859,666524
tza,1859,3465787
tha,1859,5468577
tls,1859,211061
tgo,1859,627970
ton,1859,18761
tto,1859,97440
tun,1859,1101944
tur,1859,11391250
tkm,1859,525276
tca,1859,4324
tuv,1859,3107
uga,1859,2392027
ukr,1859,16083376
are,1859,40153
gbr,1859,24488987
usa,1859,31012051
ury,1859,202861
uzb,1859,2743273
vut,1859,32679
ven,1859,1463057
vnm,1859,9484566
pse,1859,178631
yem,1859,2783716
zmb,1859,747000
zwe,1859,1434430
guf,1859,13145
pyf,1859,54406
glp,1859,107541
gum,1859,27118
mtq,1859,112472
myt,1859,9872
ant,1859,56826
ncl,1859,37299
reu,1859,124593
vir,1859,37798
esh,1859,4501
akr_a_dhe,1859,5619
asm,1859,7604
aia,1859,2675
vgb,1859,6700
chanisl,1859,56580
cxr,1859,0
cck,1859,95
cok,1859,14426
cheslo,1859,9646814
deu_east,1859,8229946
eri_a_eth,1859,5615662
fro,1859,17441
flk,1859,132
gib,1859,12292
gbg,1859,25107
hos,1859,905
gbm,1859,30401
jey,1859,31462
kos,1859,540183
lie,1859,7517
msr,1859,7497
niu,1859,4515
nfk,1859,1296
yem_north,1859,2316157
mnp,1859,4187
pcn,1859,19
scg,1859,3200433
scg_ex_kos,1859,2553455
yem_south,1859,717122
stbar,1859,3391
shn,1859,6723
stmar,1859,7651
spm,1859,2364
sjm,1859,188
